_id,tags,software,course_num,course_name,course_back,students,teacher,course_url,course_time,get_time,course_info,permission,teacher_url,push_time,category,provide_data,course_page_url,core,teacher_title,suit_people,level
ObjectId(5896a51905d3492d308ae33e),Android/Dragonboard 410c/技术概念/unix,无,3,专业术语/技术概念,在前一个课程的基础上，结合Dragoboard 410c开发板，带大家一起熟悉在整个课程内容中将会涉及到的一些专业术语、基本概念，并且给出了一些开发过程中常用的技术补充，让大家在后续课程学习中能够更快的理解各种技术过程。,2877,高通,http://www.jikexueyuan.com/course/3073.html,15,2017-02-04 11:27:24,对DragonBoard 410c开发公开课整套课程中所涉及到的一些专业术语和技术概念进行介绍，并对相关技术的使用进行了补充，让大家在后续课程中更快的理解和接受相关的技术知识点。,public,http://my.jikexueyuan.com/0JgjakPjW/record/,2016-09-29,Android,是,http://www.jikexueyuan.com/course/?pageNum=1,专业术语、基本概念、技术补充,,创客、嵌入式开发人员、开发板爱好者、软件开发人员        ,初级
ObjectId(5896a51905d3492d308ae33f),flume架构/flume组件,linux 服务器（或者linux虚拟机）至少一台；jdk1.7以上；flume1.6.0,4,Flume 基础架构,在前一课程了解了 Flume 是什么能干什么之后，这节课主要带领大家认识 Flume 的整体结构，认识 Flume 的三大核心组件: Source 组件、Channel 组件和 Sink 组件。每种组件当前已经有很多的开源实现供选择。本课程也会介绍一些常见的 Source、Channel 和 Sink 组件。最后会介绍Flume Sink 的容错和负责均衡方式。,3957,Scoot,http://www.jikexueyuan.com/course/2723.html,45,2017-02-04 11:27:26,本课程主要讲解 Flume 的基础架构，然后会对 Flume 的三大组件（Source组件、Channel组件、Sink组件）以及 Flume 过滤器 ( Interceptors )、Flume Channel 选择器 ( Selectors )、Flume 序列化器 ( Serializers ) 进行详细的讲解。最后会讲解 Flume Sink 容错和负责均衡。,public,http://my.jikexueyuan.com/0NjqVUaaa/record/,2016-05-09,Flume,是,http://www.jikexueyuan.com/course/?pageNum=2,1.Flume 整体架构；2.Flume Source组件；3.Flume Channel组件；4.Flume Sink组件;,极客学院签约布道师,大数据爱好者，大数据开发者，大数据架构师，服务器端开发，需要数据搬运的开发者        ,初级
ObjectId(5896a51905d3492d308ae340),Python/类/特殊方法/属性,"python idel, vim, notepad++",3,Python 类深入,在已经对类有了一定认识基础上，本课程进一步深化对类和实例有关的特殊方法属性的研习，并且能够根据需要定制类。并进一步理解迭代器和生成器的应用。,4222,qiwsir,http://www.jikexueyuan.com/course/2688.html,39,2017-02-04 11:27:30,本课程在已经掌握的有关类的知识基础上，对类和实例的某些特殊方法、属性进行深入探究，并梳理对类的认识，用特殊方法定制简单的类，还要了解迭代器和生成器的特点及应用。,public,http://my.jikexueyuan.com/0SqkjXVqq/record/,2016-04-20,Python 基础,是,http://www.jikexueyuan.com/course/?pageNum=3,1. 特殊的类属性2. 特殊的实例属性3. __new__()和__del__()4. 用特殊方法定制简单的类5. 迭代器6. 生成器,极客学院签约布道师,初学者        ,初级
ObjectId(5896a51905d3492d308ae341),Nginx下ASP.NET开发环境概述/Mono的安装/Nginx+Mono配置,Linux,3,Nginx 下 ASP.NET 开发环境搭建,Nginx 是一个高性能的 HTTP 和反向代理服务器，是一款轻量级的 Web 服务器，可以实现负载均衡等功能，国内使用 Nginx 服务器的大型网站主要有新浪、网易、腾讯等。,2834,韦玮,http://www.jikexueyuan.com/course/2661.html,83,2017-02-04 11:27:34,本课程主要会讲 Nginx 下 ASP.NET 开发环境搭建等知识，包括 Nginx 下 ASP.NET 开发环境概述、Mono 的安装、Nginx+Mono 配置安装等。,public,http://my.jikexueyuan.com/wei/record/,2016-04-08,Nginx,是,http://www.jikexueyuan.com/course/?pageNum=4,1.Nginx 下 ASP.NET 开发环境概述2.Mono 的安装3.Nginx+Mono 配置,极客学院签约布道师,Nginx 初学者、Nginx 爱好者、服务器运维人员        ,初级
ObjectId(5896a51905d3492d308ae342),Spring/XML Schema/Spring Bean命名/Spring Bean实例化/Spring 多配置文件,Win7 64位，JDK6或者以上，Eclipse4 或者以上版本，Spring3 或者以上版本,5,Spring 的配置文件浅析,在使用 Spring 所提供的各项功能之前，必须在 Spring IoC 容器中装配好 Bean，并建立 Bean 和 Bean 之前的关联关系。因此，在更深入的学习 Spring IoC 容器之前，对 Spring 的配置文件有一个全面的了解，还是很有必要的。,11866,YangChunlong,http://www.jikexueyuan.com/course/823.html,76,2017-02-04 11:27:40,本课程主要介绍了 Spring 配置文件的相关信息，由于涉及的信息比较多，所以将分为上下两部分向大家讲解，第一部分将通过一些简单的示例带领大家一起认识一下 Spring 的配置文件，主要介绍了 Spring 的命名，实例化，作用域以及多配置文件整合的相关知识；接下来的第二部分，将会更加深入的向大家介绍配置文件，包括依赖注入，参数详解以及其他配置相关知识。通过由浅入深的讲解步骤，大家可以掌握如何编写简单的 Spring 的配置文件。,public,http://my.jikexueyuan.com/0NjaqPaVP/record/,2016-03-14,Spring,是,http://www.jikexueyuan.com/course/?pageNum=6,1.Spring 容器的高层视图2.Spring 的命名规范3.Spring 的实例化方法4.Spring Bean 的作用域,极客学院签约布道师,J2EE 相关技术背景的开发人员        ,初级
ObjectId(5896a51905d3492d308ae343),Launcher/Android系统/Android项目,Android Studio,5,适配所有机型的桌面布局,原生 Launcher 桌面布局是针对于预装系统做的，页面只定位了几个固定的应用，并不能适配多种手机的桌面布局。而对一款应用管理软件来说，应用的布局尤为重要，只要个性化定制。,7605,D_H_Android,http://www.jikexueyuan.com/course/2602.html,66,2017-02-04 11:27:43,本课程主要讲配所有机型的桌面布局，将重要、常用的应用快捷方式放到显眼的位置，甚至可以添加自己写的广告快捷方式。主要设置首页、 Hotseat 的桌面布局。通过本课程可以学到 queryIntent 等重要方法。,public,http://my.jikexueyuan.com/0yqagaXgV/record/,2016-03-15,Android,是,http://www.jikexueyuan.com/course/?pageNum=6,1.项目演示以及原理分析2.整理基本布局3.首页桌面布局，匹配手机应用4.持久化类型匹配的应用5. Hotseat 基本布局,极客学院签约布道师,初级、中级 Android 攻城师        ,初级
ObjectId(5896a51905d3492d308ae344),Spring框架/Mybatis框架/MyBatis/MyBatis缓存/SpringMVC/Spring+SpringMVC/JdbcTemplate/SpringMVc数据库,Eclipse、Tomcat 7.0、JDK 1.7,3,SpringMVC 与底层数据库的交互,在Web项目开发过程中，必不可少的一个环节就是与数据库交互进行数据存储。SpringMVC 自身提供了 JdbcTemplate 可以很方便的实现数据库的操作，除此之外，更有很多优秀的底层数据库处理框架 Mybatis、Hibernate 等。本节课重在讲解如何实现 SpringMVC 与底层数据库的交互。,6754,mcj8089,http://www.jikexueyuan.com/course/2514.html,50,2017-02-04 11:27:45,本课程是 SpringMVC 入门实战教程系列课程中的第六课，主要讲解 SpringMVC 与底层数据库交互的实现，其中包括SpringMVC与Mybatis等底层框架整合教程。,public,http://my.jikexueyuan.com/mcj8089/record/,2016-02-01,SpringMVC,是,http://www.jikexueyuan.com/course/?pageNum=9,1. Spring自带类 JdbcTemplate2. SpringMVC 整合 JdbcTemplate3. Mybatis 框架基础4. SpringMVC 整合Mybatis5. 使用 Mybatis 缓存6. 批量更新/插入数据,极客学院签约布道师,Java 开发工程师（Web 方向）        ,中级
ObjectId(5896a51905d3492d308ae345),开发/Windows 10/通用App,Windows 10 + Visual Studio 2015,3,Windows 10 应用开发之对话框,对话框可以开启应用程序与用户的短暂性会话，比如弹出一条消息告诉用户某项操作已完成，或者弹出一个自定义的对话框让用户输入一些信息。UWP应用程序中的对话框类似于标准Windows窗口应用中的模态对话框，用户必须结束与对话框的临时会话后才能继续其他操作。这也是人-机交互的一种方案。,2467,周家安,http://www.jikexueyuan.com/course/2471.html,21,2017-02-04 11:27:47,本课程主要向学员讲述两种对话框。第一种对话框由 MessageDialog 类封装，它呈现的是系统默认的对话框，而且该类型对话框只能向用户展示纯文本信息。当系统默认的对话框无法满足开发需求时，则可以考虑使用 ContentDialog 类来自定义对话框（例如，自定义一个登录对话框）。ContentDialog  类允许开发者通过常规的可视化对象来创建任意布局的对话框。,public,http://my.jikexueyuan.com/0mjqXVUPV/record/,2016-01-22,Windows,是,http://www.jikexueyuan.com/course/?pageNum=10,1.了解对话框的用途与使用场景2.使用 MessageDialog 类来显示简单对话框，并响应对话框的命令操作3.如何自定义对话框,极客学院签约布道师,具备 .net/WPF 等编程基础的学员        ,初级
ObjectId(5896a51905d3492d308ae346),jQuery/jQuery应用/jQuery实例,Dreamweaver,4,使用 jQuery 制作京东网的焦点图,自动轮播的焦点图无论是企业站还是电商商城网站中，经常见到的效果，他能在最小的区域完成内容最大量的展现，学会了这种技术，无需再调用其他人开发的组件，你可以自定义将这种效果放置到网站的任意位置。使用最简单的方式，让你开发无障碍。,7614,写代码的平面师,http://www.jikexueyuan.com/course/2417.html,65,2017-02-04 11:27:51,本课程主要学习 JavaScript 的函数，会用到定时器setInterval，并且可以使用到 jQuery 的mouseover 鼠标事件及 click 点击事件，通过 animate 动画方法，制作一个可自动和手动控制的轮播焦点图。,public,http://my.jikexueyuan.com/0zVXXaVWg/record/,2016-01-05,jQuery,是,http://www.jikexueyuan.com/course/?pageNum=12,1.JavaScript 函数2.setInterval 定时器3.jQuery 的 animate 动画4.jQuery的mouseover及click事件,极客学院签约布道师,具有 JavaScript 基础或 jQuery 基础的同学        ,中级
ObjectId(5896a51905d3492d308ae347),开发/Windows 10/通用App,Windows 10 + Visual Studio 2015,6,Windows 10应用开发之文本输入控件,获取用户输入（可通过硬件键盘，或者触摸键盘）的文本内容，是应用程序与用户交互的一个重要环节。例如，要实现一个员工培训登记页面，应用程序就必须获取到用户所输入的内容，才能将培训数据存档。,2753,周家安,http://www.jikexueyuan.com/course/2390.html,47,2017-02-04 11:28:00,本课程主要介绍输入控件的使用方法。文本输入控件可以帮助应用程序收集用户通过键盘输入的文本内容，以便完成交互。比较常用的文本输入控件有 TextBox、RichEditBox 和 PasswordBox三种。除此之外，SDK 还提供了一个 AutoSuggestBox 控件，该控件在输入的过程中提供自动完成功能。,public,http://my.jikexueyuan.com/0mjqXVUPV/record/,2015-12-24,Windows,是,http://www.jikexueyuan.com/course/?pageNum=13,1.使用 TextBox 控件接收普通的文本键入2.使用 RichEditBox 控件来编辑带丰富格式的文本内容3.如何禁用默认的上下文菜单4.使用 PasswordBox 接收密码输入5.自动完成输入框的使用,极客学院签约布道师,具备 .net/WPF 等编程基础的学员        ,初级
